transaction_id,customer_id,product_id,sale_date,sale_amount,quantity,store_id,region,discount
TXN000001,CUST1409,PROD859,2024-01-01,144.76,4.0,ST002,North,0.0
TXN000002,CUST9935,PROD189,2024-01-01,299.34,1.0,ST001,North,15.13
TXN000003,CUST1434,PROD674,2024-01-01,107.43,9.0,ST004,South,0.0
TXN000004,CUST5557,PROD928,2024-01-01,435.96,3.0,ST004,East,9.39
TXN000005,CUST6514,PROD204,2024-01-01,,2.0,ST003,East,0.0
TXN000006,CUST1711,PROD847,2024-01-01,235.12,2.0,ST004,North,0.0
TXN000007,CUST6925,PROD691,2024-01-01,104.22,2.0,ST001,South,0.0
TXN000008,CUST2307,PROD975,2024-01-01,124.07,2.0,ST004,East,0.0
TXN000009,CUST6977,PROD266,2024-01-01,191.39,4.0,ST003,North,0.0
TXN000010,CUST3803,PROD646,2024-01-01,367.27,3.0,ST004,West,33.99
TXN000011,CUST4598,PROD801,2024-01-01,168.9,1.0,ST002,North,0.0
TXN000012,CUST7572,PROD374,2024-01-01,42.43,10.0,ST003,South,0.0
TXN000013,CUST7482,PROD758,2024-01-01,234.84,5.0,ST002,South,0.0
TXN000014,CUST9830,PROD369,2024-01-01,376.04,7.0,ST005,West,0.0
TXN000015,CUST3266,PROD621,2024-01-01,251.82,1.0,ST001,South,0.0
TXN000016,CUST7916,PROD710,2024-01-01,41.13,7.0,ST005,West,0.0
TXN000017,CUST1188,PROD796,2024-01-01,363.15,9.0,ST003,East,15.79
TXN000018,CUST8433,PROD103,2024-01-01,477.37,5.0,ST005,South,0.0
TXN000019,CUST2743,PROD991,2024-01-01,316.4,9.0,ST005,South,24.13
TXN000020,CUST9837,PROD897,2024-01-01,461.99,1.0,ST005,East,0.0
TXN000021,CUST2832,PROD471,2024-01-01,440.57,5.0,ST002,North,25.0
TXN000022,CUST2290,PROD187,2024-01-01,368.63,2.0,ST005,South,17.52
TXN000023,CUST3705,PROD371,2024-01-01,268.56,10.0,ST004,South,0.0
TXN000024,CUST4295,PROD830,2024-01-01,162.74,6.0,ST004,West,3.66
TXN000025,CUST6539,PROD121,2024-01-01,298.27,4.0,ST005,South,21.11
TXN000026,CUST1964,PROD334,2024-01-01,43.03,1.0,ST003,North,0.0
TXN000027,CUST5562,PROD785,2024-01-01,247.85,9.0,ST002,West,11.72
TXN000028,CUST7669,PROD294,2024-01-01,56.22,7.0,ST003,West,0.0
TXN000029,CUST1887,PROD789,2024-01-01,330.19,2.0,ST001,West,0.0
TXN000030,CUST2790,PROD354,2024-01-01,103.88,9.0,ST004,South,0.0
TXN000031,CUST5563,PROD573,2024-01-01,132.41,2.0,ST004,North,13.23
TXN000032,CUST1241,PROD195,2024-01-01,463.92,4.0,ST002,West,0.0
TXN000033,CUST4502,PROD985,2024-01-01,206.51,1.0,ST002,West,8.06
TXN000034,CUST8454,PROD392,2024-01-01,217.27,9.0,ST004,South,4.73
TXN000035,CUST1958,PROD693,2024-01-01,370.51,1.0,ST003,North,17.67
TXN000036,CUST9701,PROD261,2024-01-01,37.87,9.0,ST001,South,0.26
TXN000037,CUST4853,PROD513,2024-01-01,68.74,10.0,ST002,North,0.0
TXN000038,CUST7868,PROD773,2024-01-01,296.0,9.0,ST003,East,21.2
TXN000039,CUST4910,PROD371,2024-01-01,203.94,5.0,ST004,East,0.0
TXN000040,CUST2188,PROD109,2024-01-01,234.56,10.0,ST001,North,0.0
TXN000041,CUST9288,PROD371,2024-01-01,74.9,6.0,ST001,South,0.0
TXN000042,CUST3584,PROD548,2024-01-01,418.54,5.0,ST005,North,0.0
TXN000043,CUST5905,PROD779,2024-01-01,60.76,3.0,ST003,North,0.0
TXN000044,CUST3546,PROD378,2024-01-01,148.06,4.0,ST003,South,0.0
TXN000045,CUST5325,PROD617,2024-01-01,249.38,1.0,ST001,West,0.0
TXN000046,CUST1722,PROD103,2024-01-01,173.44,3.0,ST003,South,0.0
TXN000047,CUST8007,PROD674,2024-01-01,14.74,2.0,ST002,North,0.0
TXN000048,CUST3426,PROD540,2024-01-01,72.45,5.0,ST003,North,0.0
TXN000049,CUST4441,PROD798,2024-01-01,132.27,2.0,ST003,West,0.0
TXN000050,CUST3532,PROD342,2024-01-01,433.66,3.0,ST004,North,40.09
TXN000051,CUST7745,PROD921,2024-01-01,338.25,4.0,ST003,South,0.0
TXN000052,CUST2771,PROD491,2024-01-01,437.36,8.0,ST002,South,0.0
TXN000053,CUST8541,PROD458,2024-01-01,159.54,4.0,ST002,North,0.0
TXN000054,CUST7528,PROD436,2024-01-01,146.52,2.0,ST003,East,0.0
TXN000055,CUST7548,PROD795,2024-01-01,490.76,9.0,ST003,North,47.62
TXN000056,CUST3925,PROD694,2024-01-01,481.64,5.0,ST001,North,0.0
TXN000057,CUST6663,PROD846,2024-01-01,395.35,7.0,ST005,North,0.0
TXN000058,CUST4114,PROD360,2024-01-01,31.75,7.0,ST001,South,0.0
TXN000059,CUST2146,PROD780,2024-01-01,461.18,10.0,ST003,North,0.0
TXN000060,CUST5920,PROD619,2024-01-01,161.55,7.0,ST003,,0.0
TXN000061,CUST3085,PROD296,2024-01-01,216.02,7.0,ST002,East,0.0
TXN000062,CUST1006,PROD411,2024-01-01,150.59,7.0,ST005,East,0.0
TXN000063,CUST8244,PROD791,2024-01-01,114.71,8.0,ST002,North,7.62
TXN000064,CUST6491,PROD195,2024-01-01,411.03,4.0,ST003,South,0.0
TXN000065,CUST3414,PROD125,2024-01-01,32.64,8.0,ST005,North,0.0
TXN000066,CUST4185,PROD835,2024-01-01,351.21,8.0,ST004,South,24.15
TXN000067,CUST2746,PROD897,2024-01-01,218.32,3.0,ST005,West,5.44
TXN000068,CUST2988,PROD567,2024-01-01,75.34,8.0,ST005,East,0.0
TXN000069,CUST8251,PROD727,2024-01-01,409.35,9.0,ST004,West,0.0
TXN000070,CUST8777,PROD560,2024-01-01,137.0,4.0,ST003,West,0.0
TXN000071,CUST5499,PROD550,2024-01-01,47.97,5.0,ST002,East,0.0
TXN000072,CUST9849,PROD182,2024-01-01,77.8,4.0,ST004,South,0.0
TXN000073,CUST2052,PROD524,2024-01-01,209.72,9.0,ST004,West,17.47
TXN000074,CUST7381,PROD888,2024-01-01,296.2,1.0,ST005,West,0.0
TXN000075,CUST6763,PROD405,2024-01-01,379.2,7.0,ST005,South,0.0
TXN000076,CUST5471,PROD546,2024-01-01,247.96,7.0,ST003,West,0.0
TXN000077,CUST8657,PROD230,2024-01-01,490.55,9.0,ST001,West,0.0
TXN000078,CUST1444,PROD185,2024-01-01,324.95,3.0,ST004,South,12.32
TXN000079,CUST8449,PROD434,2024-01-02,175.38,7.0,ST003,West,1.44
TXN000080,CUST1317,PROD867,2024-01-02,274.32,6.0,ST002,North,0.0
TXN000081,CUST1659,PROD872,2024-01-02,25.2,4.0,ST002,North,0.0
TXN000082,CUST4908,PROD229,2024-01-02,242.04,2.0,ST005,South,0.0
TXN000083,CUST5198,PROD885,2024-01-02,190.76,10.0,ST005,North,0.0
TXN000084,CUST3683,PROD418,2024-01-02,62.97,1.0,ST003,West,0.0
TXN000085,CUST4249,PROD177,2024-01-02,300.13,4.0,ST001,East,0.0
TXN000086,CUST2983,PROD915,2024-01-02,492.08,1.0,ST003,West,0.0
TXN000087,CUST2129,PROD618,2024-01-02,327.3,1.0,ST004,West,31.45
TXN000088,CUST8532,PROD824,2024-01-02,84.97,3.0,ST005,East,0.0
